Column1	Column2	Column3
with (prep)	/w?ð/	cùng v?i
"without (prep, adv)"	/w??ða?t/	"không có, thi?u v?ng"
woman (n)	/?w?m.?n/	"?àn bà, ph? n?"
"wonder (n, v)"	/?w?n.d?/	"?i?u k? di?u, k? quan; kinh ng?c, b?t ng?"
word (n)	/w??d/	t?
"work (n, v)"	/w??k/	"công vi?c, vi?c làm; lao ??ng, làm vi?c"
world (n)	/w??ld/	th? gi?i
"worry (n, v)"	/?w??.i/	"m?i lo, m?i b?n tâm; lo l?ng, qu?y r?y"
yard (n)	/j??rd/	"sân có rào, m?nh sân, sân bãi"
"yell (n, v)"	/jel/	"s? kêu la, s? la hét; la hét, quát tháo"
"yesterday (n, adv)"	/?jes.t?.de?/	ngày hôm qua
yet (adv)	/jet/	"còn, hãy còn, ch?a k?t thúc"
you (pron)	/ju?/	"(x?ng hô) ??i ph??ng, b?n, anh, ch?…"
young (adj)	/j??/	"tr? trung, ít tu?i"
your (det)	/j?r/	"c?a b?n, c?a anh, c?a ch?…"
zero (n)	/?z?r.o?/	s? 0
zoo (n)	/zu?/	s? thú
